ハウジングエリア,表裏,番地,最寄りエーテライト,行き方補足
エンピレアム,表,1,ハイモーン広場,東のＳハウス
,,2,エンピレアム南東,南のＭハウス（左右どっちから行ってもいい）
斧槍通り（居住区担当官）,,3,ハイモーン広場,北東の階段踊り場からジャンプ
ハイモーン広場,,4,エンピレアム南東,北の階段をくねくねのぼった真ん中のＳハウス
エンピレアム南東,,5,エンピレアム南東,北東の右のＳハウス
エンピレアム中央,,6,エンピレアム南東,北東の左のＳハウス
エンピレアム南西,,7,エンピレアム東,大階段を上って左のＭハウス
イングルサイド,,8,斧槍通り（居住区担当官）,南のＭハウス
エンピレアム北西,,9,斧槍通り（居住区担当官）,南の２軒目のＳハウス
エンピレアム東,,10,斧槍通り（居住区担当官）,南の１軒目のＳハウス
エンピレアム北東,,11,エンピレアム南西,南西突き当りの階段を下った先のＳハウス
[拡張街]斧槍通り（居住区担当官）,,12,エンピレアム南西,西のＬハウス
[拡張街]ハイモーン広場,,13,エンピレアム南西,北のＳハウス
[拡張街]エンピレアム南西,,14,斧槍通り（居住区担当官）,北東のＳハウス
[拡張街]エンピレアム中央,,15,斧槍通り（居住区担当官）,北東２軒目のＳハウス
[拡張街]エンピレアム北西,,16,エンピレアム北西,東の階段を下ってまっすぐのＳハウス
[拡張街]イングルサイド,,17,エンピレアム北西,南東に道なりに行ったＭハウス
[拡張街]エンピレアム北東,,18,エンピレアム北西,南東をＵターンする登り階段の先のＭハウス
[拡張街]エンピレアム南,,19,エンピレアム北西,北東２軒目のＳハウス
[拡張街]エンピレアム南東,,20,エンピレアム北西,北東１軒目のＳハウス
,,21,エンピレアム北西,北の階段を上って右のＭハウス
,,22,エンピレアム北西,北の階段の頂上のＬハウス
,,23,エンピレアム中央,北東のＳハウス
,,24,エンピレアム北東,南東のＳハウス
,,25,エンピレアム北東,南西のＳハウス
,,26,エンピレアム東,北のＭハウス
,,27,エンピレアム北東,階段を下ったＳハウス
,,28,エンピレアム北東,西の階段を上った左のＳハウス
,,29,エンピレアム北東,西の階段を上った右のＳハウス
,,30,エンピレアム北東,西の階段を上ったＬハウス
,裏,31,[拡張街]ハイモーン広場,南のＳハウス
,,32,[拡張街]エンピレアム南西,西のＭハウス（左右どっちから行ってもいい）
,,33,[拡張街]ハイモーン広場,南東の階段踊り場からジャンプ
,,34,[拡張街]エンピレアム南西,東の階段をくねくねのぼった真ん中のＳハウス
,,35,[拡張街]エンピレアム南西,南東の右のＳハウス
,,36,[拡張街]エンピレアム南西,南東の左のＳハウス
,,37,[拡張街]エンピレアム南,大階段を上って左のＭハウス
,,38,[拡張街]斧槍通り（居住区担当官）,西のＭハウス
,,39,[拡張街]斧槍通り（居住区担当官）,西の２軒目のＳハウス
,,40,[拡張街]斧槍通り（居住区担当官）,西の１軒目のＳハウス
,,41,[拡張街]エンピレアム北西,北西突き当りの階段を下った先のＳハウス
,,42,[拡張街]エンピレアム北西,北のＬハウス
,,43,[拡張街]エンピレアム北西,東のＳハウス
,,44,[拡張街]斧槍通り（居住区担当官）,南東のＳハウス
,,45,[拡張街]斧槍通り（居住区担当官）,南東２軒目のＳハウス
,,46,[拡張街]エンピレアム北東,南の階段を下ってまっすぐのＳハウス
,,47,[拡張街]エンピレアム北東,南西に道なりに行ったＭハウス
,,48,[拡張街]エンピレアム北東,南西をＵターンする登り階段の先のＭハウス
,,49,[拡張街]エンピレアム北東,南東２軒目のＳハウス
,,50,[拡張街]エンピレアム北東,南東１軒目のＳハウス
,,51,[拡張街]エンピレアム北東,東の階段を上って右のＭハウス
,,52,[拡張街]エンピレアム北東,東の階段の頂上のＬハウス
,,53,[拡張街]エンピレアム中央,南東のＳハウス
,,54,[拡張街]エンピレアム南東,南西のＳハウス
,,55,[拡張街]エンピレアム南東,北西のＳハウス
,,56,[拡張街]エンピレアム南,東のＭハウス
,,57,[拡張街]エンピレアム南東,階段を下ったＳハウス
,,58,[拡張街]エンピレアム南東,北の階段を上った左のＳハウス
,,59,[拡張街]エンピレアム南東,北の階段を上った右のＳハウス
,,60,[拡張街]エンピレアム南東,北の階段を上ったＬハウス
