ハウジングエリア,表裏,番地,最寄りエーテライト,行き方補足
ゴブ,表,1,ゴブレット市場（居住区担当官）,西に階段を上ってすぐのＳハウス
,,2,ゴブレットビュート西,北東呼び鈴の方に進んで最後のＳハウス
ゴブレット市場（居住区担当官）,,3,ゴブレットビュート西,北東呼び鈴の方に進んで最初のＳハウス
ゴブレットビュート北東,,4,ゴブレット市場（居住区担当官）,西に階段を上って2軒目にあるＭハウス
ゴブレットビュート西,,5,ゴブレットビュート西,北のＬハウス
ブリミングハート広場,,6,ゴブレットビュート西,北東呼び鈴の方に進んで飛び降りられそうなとこでジャンプするMハウス
ゴブレットビュート南東,,7,ゴブレットビュート西,東のＳハウス
ゴブレットビュート北,,8,ゴブレットビュート西,南のＭハウス
ゴブレットビュート東,,9,ゴブレットビュート西,西のＳハウス
ナナモ大風車,,10,ナナモ大風車,北西の突き当りのＳハウス（突き当たってないけど）
[拡張街]ゴブレット市場（居住区担当官）,,11,ナナモ大風車,北西の左のＭハウス
[拡張街]ゴブレットビュート南東,,12,ナナモ大風車,北西の右のＭハウス
[拡張街]ゴブレットビュート北,,13,ナナモ大風車,北東の右のＬハウス
[拡張街]ブリミングハート広場,,14,ブリミングハート広場,北の階段をぐるっと左に行ったＳハウス
[拡張街]ゴブレットビュート南西,,15,ブリミングハート広場,北の階段を２つ登ったＳハウス
[拡張街]ゴブレットビュート東,,16,ブリミングハート広場,南東の道を渡って左へ行き階段を２つ登った左のＳハウス
[拡張街]ゴブレットビュート南,,17,ブリミングハート広場,南東の道を渡って左へ行き階段を登った右のＳハウス
[拡張街]ナナモ大風車,,18,ブリミングハート広場,南東の道を渡って左前に見えるＳハウス
,,19,ブリミングハート広場,南東の道を渡って右前に見えるＭハウス
,,20,ブリミングハート広場,南のＳハウス
,,21,ゴブレットビュート北東,西の坂道を登った先のＳハウス（階段じゃない）
,,22,ゴブレットビュート東,南の階段を上り右に見える大きい階段を上ったあと左に曲がって階段を上ったＳハウス
,,23,ゴブレットビュート北東,南西の細い階段を上った先のＳハウス
,,24,ゴブレットビュート東,すぐそこのＳハウス
,,25,ゴブレットビュート東,階段を上ってちょっと下ったＭハウス
,,26,ゴブレットビュート南東,北に階段を上って左にＵターンしたＳハウス
,,27,ゴブレットビュート南東,南西のＳハウス
,,28,ゴブレットビュート南東,西に進んだＳハウス
,,29,ゴブレットビュート南東,階段を下った先のＳハウス
,,30,ゴブレットビュート南東,階段を下った先のＬハウス
,裏,31,[拡張街]ゴブレット市場（居住区担当官）,北に階段を上ってすぐのＳハウス
,,32,[拡張街]ゴブレットビュート北,南東呼び鈴の方に進んで最後のＳハウス
,,33,[拡張街]ゴブレットビュート北,南東呼び鈴の方に進んで最初のＳハウス
,,34,[拡張街]ゴブレット市場（居住区担当官）,北に階段を上って2軒目にあるＭハウス
,,35,[拡張街]ゴブレットビュート北,東のＬハウス
,,36,[拡張街]ゴブレットビュート北,南東呼び鈴の方に進んで飛び降りられそうなとこでジャンプするMハウス
,,37,[拡張街]ゴブレットビュート北,南のＳハウス
,,38,[拡張街]ゴブレットビュート北,西のＭハウス
,,39,[拡張街]ゴブレットビュート北,北のＳハウス
,,40,[拡張街]ナナモ大風車,北東の突き当りのＳハウス（突き当たってないけど）
,,41,[拡張街]ナナモ大風車,北東の左のＭハウス
,,42,[拡張街]ナナモ大風車,北東の右のＭハウス
,,43,[拡張街]ナナモ大風車,南東の右のＬハウス
,,44,[拡張街]ブリミングハート広場,東の階段をぐるっと左に行ったＳハウス
,,45,[拡張街]ブリミングハート広場,東の階段を２つ登ったＳハウス
,,46,[拡張街]ブリミングハート広場,南西の道を渡って左へ行き階段を２つ登った左のＳハウス
,,47,[拡張街]ブリミングハート広場,南西の道を渡って左へ行き階段を登った右のＳハウス
,,48,[拡張街]ブリミングハート広場,南西の道を渡って左前に見えるＳハウス
,,49,[拡張街]ブリミングハート広場,南西の道を渡って右前に見えるＭハウス
,,50,[拡張街]ブリミングハート広場,西のＳハウス
,,51,[拡張街]ゴブレットビュート南東,北の坂道を登った先のＳハウス（階段じゃない）
,,52,[拡張街]ゴブレットビュート南,西の階段を上り右に見える大きい階段を上ったあと左に曲がって階段を上ったＳハウス
,,53,[拡張街]ゴブレットビュート南東,北西の細い階段を上った先のＳハウス
,,54,[拡張街]ゴブレットビュート南,すぐそこのＳハウス
,,55,[拡張街]ゴブレットビュート南,階段を上ってちょっと下ったＭハウス
,,56,[拡張街]ゴブレットビュート南西,東に階段を上って左にＵターンしたＳハウス
,,57,[拡張街]ゴブレットビュート南西,北西のＳハウス
,,58,[拡張街]ゴブレットビュート南西,北に進んだＳハウス
,,59,[拡張街]ゴブレットビュート南西,階段を下った先のＳハウス
,,60,[拡張街]ゴブレットビュート南西,階段を下った先のＬハウス
