ハウジングエリア,表裏,番地,最寄りエーテライト,行き方補足
ミスト,表,1,ミストゲート・スクエア,西の階段をまっすぐ降りたとこ
,,2,ミスト・ヴィレッジ北西,西のＬハウス
ミストゲート・スクエア,,3,ミスト・ヴィレッジ北西,南のＳハウス
ミスト・ヴィレッジ北西,,4,ミスト・ヴィレッジ南（船着場）,北左側のＭハウス
ミスト・ヴィレッジ北東,,5,ミスト・ヴィレッジ南（船着場）,西のＬハウス
ミスト・ヴィレッジ南東,,6,ミスト・ヴィレッジ南（船着場）,北右側のＭハウス
ミスト・ヴィレッジ南（船着場）,,7,ミスト・ヴィレッジ南（船着場）,北右側2番目のＭハウス
ミスト・ヴィレッジ東,,8,ミストゲート・スクエア,西の階段を降りて一つ目の踊り場からジャンプ
トップマスト,,9,ミスト・ヴィレッジ北東,西のＳハウス（階段無し）
シーゲイズ商通り（居住区担当官）,,10,ミスト・ヴィレッジ北東,西のＳハウス（階段有り）
[拡張街]ミストゲート・スクエア,,11,ミストゲート・スクエア,東の階段を降りて突き当りでジャンプ
[拡張街]ミスト・ヴィレッジ北東,,12,ミスト・ヴィレッジ北東,西に道なり最初の階段を降りて左
[拡張街]ミスト・ヴィレッジ南東,,13,ミスト・ヴィレッジ東,北西目の前のＳハウス
[拡張街]ミスト・ヴィレッジ南西,,14,ミスト・ヴィレッジ東,北東カーブの坂の途中左のＭハウス
[拡張街]ミスト・ヴィレッジ北西（船着場）,,15,ミスト・ヴィレッジ北東,東のＬハウス
[拡張街]ミスト・ヴィレッジ中央,,16,ミスト・ヴィレッジ東,北東カーブの坂の途中右のＳハウス
[拡張街]トップマスト,,17,ミスト・ヴィレッジ東,東大きい階段付きのＳハウス
[拡張街]シーゲイズ商通り（居住区担当官）,,18,ミスト・ヴィレッジ東,南のＳハウス
,,19,シーゲイズ商通り（居住区担当官）,南東ひとつめのＳハウス
,,20,シーゲイズ商通り（居住区担当官）,南東ふたつめのＳハウス
,,21,シーゲイズ商通り（居住区担当官）,南東みっつめのＳハウス
,,22,ミスト・ヴィレッジ南東,南の階段降りて右のＳハウス
,,23,ミスト・ヴィレッジ南東,西に向かって真っすぐジャンプ目の前のＳハウス
,,24,ミスト・ヴィレッジ南東,北のＳハウス
,,25,ミスト・ヴィレッジ南東,東の階段を一つ登ってひだりのＳハウス
,,26,ミスト・ヴィレッジ南東,南の登り階段１つめのＳハウス
,,27,ミスト・ヴィレッジ南東,東の階段を1つ登って左に曲がり突き当りのＳハウス
,,28,ミスト・ヴィレッジ南東,東の階段突き当りのＳハウス
,,29,ミスト・ヴィレッジ南東,南の登り階段突き当りのＭハウス
,,30,ミスト・ヴィレッジ南東,南の突き当りのＭハウス
,裏,31,[拡張街]ミストゲート・スクエア,北の階段をまっすぐ降りたとこ
,,32,[拡張街]ミスト・ヴィレッジ北東,北のＬハウス
,,33,[拡張街]ミスト・ヴィレッジ北東,西のＳハウス
,,34,[拡張街]ミスト・ヴィレッジ北西（船着場）,東左側のＭハウス
,,35,[拡張街]ミスト・ヴィレッジ北西（船着場）,北のＬハウス
,,36,[拡張街]ミスト・ヴィレッジ北西（船着場）,東右側のＭハウス
,,37,[拡張街]ミスト・ヴィレッジ北西（船着場）,東右側2番目のＭハウス
,,38,[拡張街]ミストゲート・スクエア,北の階段を降りて一つ目の踊り場からジャンプ
,,39,[拡張街]ミスト・ヴィレッジ南東,北のＳハウス（階段無し）
,,40,[拡張街]ミスト・ヴィレッジ南東,北のＳハウス（階段有り）
,,41,[拡張街]ミストゲート・スクエア,南の階段を降りて突き当りでジャンプ
,,42,[拡張街]ミスト・ヴィレッジ南東,北に道なり最初の階段を降りて左
,,43,[拡張街]ミスト・ヴィレッジ中央,北東目の前のＳハウス
,,44,[拡張街]ミスト・ヴィレッジ中央,南東カーブの坂の途中左のＭハウス
,,45,[拡張街]ミスト・ヴィレッジ南東,南のＬハウス
,,46,[拡張街]ミスト・ヴィレッジ中央,南東カーブの坂の途中右のＳハウス
,,47,[拡張街]ミスト・ヴィレッジ中央,南大きい階段付きのＳハウス
,,48,[拡張街]ミスト・ヴィレッジ中央,西のＳハウス
,,49,[拡張街]シーゲイズ商通り（居住区担当官）,南西ひとつめのＳハウス
,,50,[拡張街]シーゲイズ商通り（居住区担当官）,南西ふたつめのＳハウス
,,51,[拡張街]シーゲイズ商通り（居住区担当官）,南西みっつめのＳハウス
,,52,[拡張街]ミスト・ヴィレッジ南西,西の階段降りて右のＳハウス
,,53,[拡張街]ミスト・ヴィレッジ南西,北に向かって真っすぐジャンプ目の前のＳハウス
,,54,[拡張街]ミスト・ヴィレッジ南西,東のＳハウス
,,55,[拡張街]ミスト・ヴィレッジ南西,南の階段を一つ登ってひだりのＳハウス
,,56,[拡張街]ミスト・ヴィレッジ南西,西の登り階段１つめのＳハウス
,,57,[拡張街]ミスト・ヴィレッジ南西,南の階段を1つ登って左に曲がり突き当りのＳハウス
,,58,[拡張街]ミスト・ヴィレッジ南西,南の階段突き当りのＳハウス
,,59,[拡張街]ミスト・ヴィレッジ南西,西の登り階段突き当りのＭハウス
,,60,[拡張街]ミスト・ヴィレッジ南西,西の突き当りのＭハウス
