ハウジングエリア,表裏,番地,最寄りエーテライト,行き方補足
シロガネ,表,1,シロガネ南,南に行って右のＭハウス
,,2,シロガネ南,北西の階段上ってすぐのＳハウス
茜雲桟橋（居住区担当官）,,3,シロガネ南,南東に行ってから階段を下ったＳハウス
シロガネ北西,,4,シロガネ南,北のＳハウス（左右どっちから行ってもいい）
シロガネ西,,5,シロガネ南,北東の階段を上ったＳハウス
紅海御殿,,6,シロガネ南東,西の右のＳハウス
シロガネ北東,,7,シロガネ南東,西の左のＬハウス
シロガネ南西,,8,シロガネ南東,東のＬハウス
シロガネ南,,9,シロガネ南東,東へ行って左に階段を上ったＳハウス
シロガネ南東,,10,シロガネ北東,南東に階段を下ったＳハウス
[拡張街]茜雲桟橋（居住区担当官）,,11,シロガネ北東,西の階段を下って左のＳハウス
[拡張街]シロガネ東,,12,シロガネ北東,西の階段を下って右のＳハウス
[拡張街]シロガネ北東,,13,シロガネ北東,北西２軒目のＭハウス
[拡張街]紅海御殿,,14,シロガネ北東,北のＳハウス
[拡張街]シロガネ南,,15,シロガネ北東,北東の階段を上ったＭハウス
[拡張街]シロガネ北,,16,シロガネ北東,北東の階段を上った先のＬハウス
[拡張街]シロガネ西,,17,茜雲桟橋（居住区担当官）,北西最初のＳハウス（右）
[拡張街]シロガネ南西,,18,シロガネ南西,南東２つ目のＳハウス
,,19,茜雲桟橋（居住区担当官）,北西最初のＭハウス（左）
,,20,シロガネ南西,南東１つ目のＳハウス
,,21,シロガネ南西,西の左のＳハウス
,,22,シロガネ南西,西の右のＳハウス
,,23,シロガネ西,西の赤い橋の前のＳハウス
,,24,シロガネ西,西のＭハウス
,,25,シロガネ西,東に階段を少し下ったＳハウス
,,26,シロガネ西,北のＳハウス
,,27,シロガネ西,北東のＳハウス
,,28,シロガネ北西,東のＭハウス
,,29,シロガネ北西,南のＳハウス
,,30,シロガネ北西,西のＬハウス
,裏,31,[拡張街]シロガネ西,西に行って右のＭハウス
,,32,[拡張街]シロガネ西,北東の階段上ってすぐのＳハウス
,,33,[拡張街]シロガネ西,南西に行ってから階段を下ったＳハウス
,,34,[拡張街]シロガネ西,東のＳハウス（左右どっちから行ってもいい）
,,35,[拡張街]シロガネ西,南東の階段を上ったＳハウス
,,36,[拡張街]シロガネ南西,北の右のＳハウス
,,37,[拡張街]シロガネ南西,北の左のＬハウス
,,38,[拡張街]シロガネ南西,南のＬハウス
,,39,[拡張街]シロガネ南西,南へ行って左に階段を上ったＳハウス
,,40,[拡張街]シロガネ南,南西に階段を下ったＳハウス
,,41,[拡張街]シロガネ南,北の階段を下って左のＳハウス
,,42,[拡張街]シロガネ南,北の階段を下って右のＳハウス
,,43,[拡張街]シロガネ南,北東２軒目のＭハウス
,,44,[拡張街]シロガネ南,東のＳハウス
,,45,[拡張街]シロガネ南,南の階段を上ったＭハウス
,,46,[拡張街]シロガネ南,南の階段を上った先のＬハウス
,,47,[拡張街]茜雲桟橋（居住区担当官）,北東最初のＳハウス（右）
,,48,[拡張街]シロガネ北,南西２つ目のＳハウス
,,49,[拡張街]茜雲桟橋（居住区担当官）,北東最初のＭハウス（左）
,,50,[拡張街]シロガネ北,南西１つ目のＳハウス
,,51,[拡張街]シロガネ北,北の左のＳハウス
,,52,[拡張街]シロガネ北,北の右のＳハウス
,,53,[拡張街]シロガネ北東,北の赤い橋の前のＳハウス
,,54,[拡張街]シロガネ北東,北のＭハウス
,,55,[拡張街]シロガネ北東,西に階段を少し下ったＳハウス
,,56,[拡張街]シロガネ北東,東のＳハウス
,,57,[拡張街]シロガネ北東,南東のＳハウス
,,58,[拡張街]シロガネ東,南のＭハウス
,,59,[拡張街]シロガネ東,西のＳハウス
,,60,[拡張街]シロガネ東,北のＬハウス
