番地,行き方補足
1,S house to the east
2,M house to the south (can be reached from either side)
3,Jump from the northeast stairs landing
4,S house in the middle up the winding north stairs
5,S house on the right to the northeast
6,S house on the left to the northeast
7,M house on the left after climbing the large stairs
8,M house to the south
9,2nd S house to the south
10,1st S house to the south
11,S house reached by going down the stairs at the southwest dead end
12,L house to the west
13,S house to the north
14,S house to the northeast
15,2nd S house to the northeast
16,S house straight ahead after going down the east stairs
17,M house reached by following the road southeast
18,M house past the stairs that U-turn up to the southeast
19,2nd S house to the northeast
20,1st S house to the northeast
21,M house on the right after going up the north stairs
22,L house at the top of the north stairs
23,S house to the northeast
24,S house to the southeast
25,S house to the southwest
26,M house to the north
27,S house down the stairs
28,S house on the left after going up the west stairs
29,S house on the right after going up the west stairs
30,L house up the west stairs
31,S house to the south
32,M house to the west (can be reached from either side)
33,Jump from the southeast stairs landing
34,S house in the middle up the winding east stairs
35,S house on the right to the southeast
36,S house on the left to the southeast
37,M house on the left after climbing the large stairs
38,M house to the west
39,2nd S house to the west
40,1st S house to the west
41,S house reached by going down the stairs at the northwest dead end
42,L house to the north
43,S house to the east
44,S house to the southeast
45,2nd S house to the southeast
46,S house straight ahead after going down the south stairs
47,M house reached by following the road southwest
48,M house past the stairs that U-turn up to the southwest
49,2nd M house to the southeast
50,1st S house to the southeast
51,M house on the right after going up the east stairs
52,L house at the top of the east stairs
53,S house to the southeast
54,S house to the southwest
55,S house to the northwest
56,M house to the east
57,S house down the stairs
58,S house on the left after going up the north stairs
59,S house on the right after going up the north stairs
60,L house up the north stairs
