番地,行き方補足
1,M house on the right; follow the road east
2,S house on the right to the north
3,L house to the east
4,S house on the left to the north
5,M house to the west
6,Go south; cross the bridge on the left to reach the L house
7,S house on the right to the north
8,S house on the left to the north
9,S house to the east
10,S house to the west
11,M house at the southwest dead end
12,1st S house to the south
13,Go west; S house at the dead end on the left
14,2nd S house to the south
15,Cross the bridge on the right heading north; S house on the left
16,M house to the west
17,S house to the east
18,S house on the right to the north; loop around to the right to enter
19,S house on the left to the north
20,S house to the southeast
21,M house to the southwest
22,S house to the west
23,S house to the southeast
24,S house up the northwest stairs
25,S house on the right after climbing the northwest stairs
26,S house down the road to the west
27,M house to the southwest
28,L house to the northwest
29,S house at the northwest dead end
30,M house first seen along the road to the west
31,M house on the right; follow the road south
32,S house on the right to the east
33,L house to the south
34,S house on the left to the east
35,M house to the north
36,Go west; cross the bridge on the left to reach the L house
37,S house on the right to the east
38,S house on the left to the east
39,S house to the south
40,S house to the north
41,M house at the northwest dead end
42,1st S house to the west
43,Go north; S house at the dead end on the left
44,2nd S house to the west
45,Cross the bridge on the right heading east; S house on the left
46,M house to the north
47,S house to the south
48,S house on the right to the east; loop around to the right to enter
49,S house on the left to the east
50,S house to the northwest
51,M house to the northwest
52,S house to the north
53,S house to the southwest
54,S house up the northeast stairs
55,S house on the right after climbing the northeast stairs
56,S house down the road to the north
57,M house to the northwest
58,L house to the northeast
59,S house at the northeast dead end
60,M house first seen along the road to the north
