番地,行き方補足
1,Straight down the west stairs
2,L house to the west
3,S house to the south
4,M house on the north left side
5,L house to the west
6,M house on the north right side
7,2nd M house on the north right side
8,Go down the west stairs and jump from the first landing
9,S house to the west (no stairs)
10,S house to the west (with stairs)
11,Go down the east stairs and jump at the dead end
12,Follow the road west; go down the first stairs and turn left
13,S house right in front to the northwest
14,M house on the left partway down the northeast curve slope
15,L house to the east
16,S house on the right partway down the northeast curve slope
17,S house with large stairs to the east
18,S house to the south
19,1st S house to the southeast
20,2nd S house to the southeast
21,3rd S house to the southeast
22,S house on the right after going down the south stairs
23,S house right in front; jump straight toward the west
24,S house to the north
25,S house on the left after climbing one flight of east stairs
26,1st S house up the south climbing stairs
27,S house at the dead end after climbing one flight of east stairs and turning left
28,S house at the dead end of the east stairs
29,M house at the dead end of the south climbing stairs
30,M house at the south dead end
31,Straight down the north stairs
32,L house to the north
33,S house to the west
34,M house on the east left side
35,L house to the north
36,M house on the east right side
37,2nd M house on the east right side
38,Go down the north stairs and jump from the first landing
39,S house to the north (no stairs)
40,S house to the north (with stairs)
41,Go down the south stairs and jump at the dead end
42,Follow the road north; go down the first stairs and turn left
43,S house right in front to the northeast
44,M house on the left partway down the southeast curve slope
45,L house to the south
46,S house on the right partway down the southeast curve slope
47,S house with large stairs to the south
48,S house to the west
49,1st S house to the southwest
50,2nd S house to the southwest
51,3rd S house to the southwest
52,S house on the right after going down the west stairs
53,S house right in front; jump straight toward the north
54,S house to the east
55,S house on the left after climbing one flight of south stairs
56,1st S house up the west climbing stairs
57,S house at the dead end after climbing one flight of south stairs and turning left
58,S house at the dead end of the south stairs
59,M house at the dead end of the west climbing stairs
60,M house at the west dead end
