番地,行き方補足
1,Go south; M house on the right
2,S house right after going up the northwest stairs
3,S house reached by going southeast then down the stairs
4,S house to the north (can be reached from either side)
5,S house up the northeast stairs
6,S house on the right to the west
7,L house on the left to the west
8,M house to the east
9,S house reached by going east then up the stairs on the left
10,S house down the southeast stairs
11,S house on the left after going down the west stairs
12,S house on the right after going down the west stairs
13,2nd M house to the northwest
14,S house to the north
15,M house up the northeast stairs
16,L house past the top of the northeast stairs
17,First S house to the northwest (right)
18,2nd S house to the southeast
19,First M house to the northwest (left)
20,1st S house to the southeast
21,S house on the left to the west
22,S house on the right to the west
23,S house in front of the red bridge to the west
24,M house to the west
25,S house a little down the east stairs
26,S house to the north
27,S house to the northeast
28,M house to the east
29,S house to the south
30,L house to the west
31,Go west; M house on the right
32,S house right after going up the northeast stairs
33,S house reached by going southwest then down the stairs
34,S house to the east (can be reached from either side)
35,S house up the southeast stairs
36,S house on the right to the north
37,L house on the left to the north
38,M house to the south
39,S house reached by going south then up the stairs on the left
40,S house down the southwest stairs
41,S house on the left after going down the north stairs
42,S house on the right after going down the north stairs
43,2nd M house to the northeast
44,S house to the east
45,M house up the south stairs
46,L house past the top of the south stairs
47,First S house to the northeast (right)
48,2nd S house to the southwest
49,First M house to the northeast (left)
50,1st S house to the southwest
51,S house on the left to the north
52,S house on the right to the north
53,S house in front of the red bridge to the north
54,M house to the north
55,S house a little down the west stairs
56,S house to the east
57,S house to the southeast
58,M house to the south
59,S house to the west
60,L house to the north
