番地,行き方補足
1,동쪽 S형 주택
2,남쪽 M형 주택(왼쪽이든 오른쪽이든 상관없음)
3,북동쪽 계단참에서 점프
4,북쪽 구불구불한 계단을 올라간 가운데 S형 주택
5,북동쪽 오른쪽 S형 주택
6,북동쪽 왼쪽 S형 주택
7,큰 계단을 올라가 왼쪽 M형 주택
8,남쪽 M형 주택
9,남쪽 두 번째 집 S형 주택
10,남쪽 첫 번째 집 S형 주택
11,남서쪽 막다른 곳 계단을 내려간 곳의 S형 주택
12,서쪽 L형 주택
13,북쪽 S형 주택
14,북동쪽 S형 주택
15,북동쪽 두 번째 집 S형 주택
16,동쪽 계단을 내려가 곧장 간 S형 주택
17,남동쪽으로 길을 따라간 M형 주택
18,남동쪽으로 U턴하며 올라가는 계단 끝의 M형 주택
19,북동쪽 두 번째 집 S형 주택
20,북동쪽 첫 번째 집 S형 주택
21,북쪽 계단을 올라가 오른쪽 M형 주택
22,북쪽 계단 꼭대기의 L형 주택
23,북동쪽 S형 주택
24,남동쪽 S형 주택
25,남서쪽 S형 주택
26,북쪽 M형 주택
27,계단을 내려간 S형 주택
28,서쪽 계단을 올라가 왼쪽 S형 주택
29,서쪽 계단을 올라가 오른쪽 S형 주택
30,서쪽 계단을 올라간 L형 주택
31,남쪽 S형 주택
32,서쪽 M형 주택(왼쪽이든 오른쪽이든 상관없음)
33,남동쪽 계단참에서 점프
34,동쪽 구불구불한 계단을 올라간 가운데 S형 주택
35,남동쪽 오른쪽 S형 주택
36,남동쪽 왼쪽 S형 주택
37,큰 계단을 올라가 왼쪽 M형 주택
38,서쪽 M형 주택
39,서쪽 두 번째 집 S형 주택
40,서쪽 첫 번째 집 S형 주택
41,북서쪽 막다른 곳 계단을 내려간 곳의 S형 주택
42,북쪽 L형 주택
43,동쪽 S형 주택
44,남동쪽 S형 주택
45,남동쪽 두 번째 집 S형 주택
46,남쪽 계단을 내려가 곧장 간 S형 주택
47,남서쪽으로 길을 따라간 M형 주택
48,남서쪽으로 U턴하며 올라가는 계단 끝의 M형 주택
49,남동쪽 두 번째 집 M형 주택
50,남동쪽 첫 번째 집 S형 주택
51,동쪽 계단을 올라가 오른쪽 M형 주택
52,동쪽 계단 꼭대기의 L형 주택
53,남동쪽 S형 주택
54,남서쪽 S형 주택
55,북서쪽 S형 주택
56,동쪽 M형 주택
57,계단을 내려간 S형 주택
58,북쪽 계단을 올라가 왼쪽 S형 주택
59,북쪽 계단을 올라가 오른쪽 S형 주택
60,북쪽 계단을 올라간 L형 주택
