番地,行き方補足
1,서쪽 계단을 올라가면 바로 S형 주택
2,북동쪽 초인종 방향으로 가서 마지막 S형 주택
3,북동쪽 초인종 방향으로 가서 첫 번째 S형 주택
4,서쪽 계단을 올라가 두 번째 집 M형 주택
5,북쪽 L형 주택
6,북동쪽 초인종 방향으로 가다 뛰어내릴 수 있을 것 같은 곳에서 점프하는 M형 주택
7,동쪽 S형 주택
8,남쪽 M형 주택
9,서쪽 S형 주택
10,북서쪽 막다른 곳 S형 주택(사실 막혀있지 않지만)
11,북서쪽 왼쪽 M형 주택
12,북서쪽 오른쪽 M형 주택
13,북동쪽 오른쪽 L형 주택
14,북쪽 계단을 왼쪽으로 빙 돌아간 S형 주택
15,북쪽 계단을 두 번 올라간 S형 주택
16,남동쪽 길을 건너 왼쪽으로 가서 계단을 두 번 올라간 왼쪽 S형 주택
17,남동쪽 길을 건너 왼쪽으로 가서 계단을 올라간 오른쪽 S형 주택
18,남동쪽 길을 건너 왼쪽 앞에 보이는 S형 주택
19,남동쪽 길을 건너 오른쪽 앞에 보이는 M형 주택
20,남쪽 S형 주택
21,서쪽 비탈길을 올라간 곳의 S형 주택(계단이 아님)
22,남쪽 계단을 올라가 오른쪽에 보이는 큰 계단을 올라간 뒤 왼쪽으로 꺾어 계단을 올라간 S형 주택
23,남서쪽 좁은 계단을 올라간 곳의 S형 주택
24,바로 저기 S형 주택
25,계단을 올라갔다가 조금 내려간 M형 주택
26,북쪽 계단을 올라가 왼쪽으로 U턴한 S형 주택
27,남서쪽 S형 주택
28,서쪽으로 간 S형 주택
29,계단을 내려간 곳의 S형 주택
30,계단을 내려간 곳의 L형 주택
31,북쪽 계단을 올라가면 바로 S형 주택
32,남동쪽 초인종 방향으로 가서 마지막 S형 주택
33,남동쪽 초인종 방향으로 가서 첫 번째 S형 주택
34,북쪽 계단을 올라가 두 번째 집 M형 주택
35,동쪽 L형 주택
36,남동쪽 초인종 방향으로 가다 뛰어내릴 수 있을 것 같은 곳에서 점프하는 M형 주택
37,남쪽 S형 주택
38,서쪽 M형 주택
39,북쪽 S형 주택
40,북동쪽 막다른 곳 S형 주택(사실 막혀있지 않지만)
41,북동쪽 왼쪽 M형 주택
42,북동쪽 오른쪽 M형 주택
43,남동쪽 오른쪽 L형 주택
44,동쪽 계단을 왼쪽으로 빙 돌아간 S형 주택
45,동쪽 계단을 두 번 올라간 S형 주택
46,남서쪽 길을 건너 왼쪽으로 가서 계단을 두 번 올라간 왼쪽 S형 주택
47,남서쪽 길을 건너 왼쪽으로 가서 계단을 올라간 오른쪽 S형 주택
48,남서쪽 길을 건너 왼쪽 앞에 보이는 S형 주택
49,남서쪽 길을 건너 오른쪽 앞에 보이는 M형 주택
50,서쪽 S형 주택
51,북쪽 비탈길을 올라간 곳의 S형 주택(계단이 아님)
52,서쪽 계단을 올라가 오른쪽에 보이는 큰 계단을 올라간 뒤 왼쪽으로 꺾어 계단을 올라간 S형 주택
53,북서쪽 좁은 계단을 올라간 곳의 S형 주택
54,바로 저기 S형 주택
55,계단을 올라갔다가 조금 내려간 M형 주택
56,동쪽 계단을 올라가 왼쪽으로 U턴한 S형 주택
57,북서쪽 S형 주택
58,북쪽으로 간 S형 주택
59,계단을 내려간 곳의 S형 주택
60,계단을 내려간 곳의 L형 주택
