番地,行き方補足
1,길을 따라 동쪽 오른쪽 M형 주택
2,북쪽 오른쪽 S형 주택
3,동쪽 L형 주택
4,북쪽 왼쪽 S형 주택
5,서쪽 M형 주택
6,남쪽으로 가서 왼쪽 다리를 건너면 있는 L형 주택
7,북쪽 오른쪽 S형 주택
8,북쪽 왼쪽 S형 주택
9,동쪽 S형 주택
10,서쪽 S형 주택
11,남서쪽 막다른 곳 M형 주택
12,남쪽 첫 번째 S형 주택
13,서쪽으로 가서 막다른 곳 왼쪽 S형 주택
14,남쪽 두 번째 S형 주택
15,북쪽으로 오른쪽 다리를 건너 왼쪽 S형 주택
16,서쪽 M형 주택
17,동쪽 S형 주택
18,북쪽 오른쪽 S형 주택(오른쪽으로 빙 돌아 들어감)
19,북쪽 왼쪽 S형 주택
20,남동쪽 S형 주택
21,남서쪽 M형 주택
22,서쪽 S형 주택
23,남동쪽 S형 주택
24,북서쪽 계단을 올라간 S형 주택
25,북서쪽 계단을 올라가 오른쪽 S형 주택
26,서쪽으로 길을 따라 내려간 S형 주택
27,남서쪽 M형 주택
28,북서쪽 L형 주택
29,북서쪽 막다른 곳 S형 주택
30,서쪽 길을 따라 처음 보이는 M형 주택
31,길을 따라 남쪽 오른쪽 M형 주택
32,동쪽 오른쪽 S형 주택
33,남쪽 L형 주택
34,동쪽 왼쪽 S형 주택
35,북쪽 M형 주택
36,서쪽으로 가서 왼쪽 다리를 건너면 있는 L형 주택
37,동쪽 오른쪽 S형 주택
38,동쪽 왼쪽 S형 주택
39,남쪽 S형 주택
40,북쪽 S형 주택
41,북서쪽 막다른 곳 M형 주택
42,서쪽 첫 번째 S형 주택
43,북쪽으로 가서 막다른 곳 왼쪽 S형 주택
44,서쪽 두 번째 S형 주택
45,동쪽으로 오른쪽 다리를 건너 왼쪽 S형 주택
46,북쪽 M형 주택
47,남쪽 S형 주택
48,동쪽 오른쪽 S형 주택(오른쪽으로 빙 돌아 들어감)
49,동쪽 왼쪽 S형 주택
50,북서쪽 S형 주택
51,북서쪽 M형 주택
52,북쪽 S형 주택
53,남서쪽 S형 주택
54,북동쪽 계단을 올라간 S형 주택
55,북동쪽 계단을 올라가 오른쪽 S형 주택
56,북쪽으로 길을 따라 내려간 S형 주택
57,북서쪽 M형 주택
58,북동쪽 L형 주택
59,북동쪽 막다른 곳 S형 주택
60,북쪽 길을 따라 처음 보이는 M형 주택
