番地,行き方補足
1,서쪽 계단을 곧장 내려간 곳
2,서쪽 L형 주택
3,남쪽 S형 주택
4,북쪽 왼편 M형 주택
5,서쪽 L형 주택
6,북쪽 오른편 M형 주택
7,북쪽 오른편 두 번째 M형 주택
8,서쪽 계단을 내려가 첫 번째 계단참에서 점프
9,서쪽 S형 주택(계단 없음)
10,서쪽 S형 주택(계단 있음)
11,동쪽 계단을 내려가 막다른 곳에서 점프
12,서쪽으로 길을 따라 첫 번째 계단을 내려가 왼쪽
13,북서쪽 바로 앞 S형 주택
14,북동쪽 커브 비탈길 도중 왼쪽 M형 주택
15,동쪽 L형 주택
16,북동쪽 커브 비탈길 도중 오른쪽 S형 주택
17,동쪽 큰 계단이 있는 S형 주택
18,남쪽 S형 주택
19,남동쪽 첫 번째 S형 주택
20,남동쪽 두 번째 S형 주택
21,남동쪽 세 번째 S형 주택
22,남쪽 계단을 내려가 오른쪽 S형 주택
23,서쪽을 향해 곧장 점프한 바로 앞 S형 주택
24,북쪽 S형 주택
25,동쪽 계단을 한 번 올라가 왼쪽 S형 주택
26,남쪽 오르막 계단 첫 번째 S형 주택
27,동쪽 계단을 한 번 올라가 왼쪽으로 꺾어 막다른 곳 S형 주택
28,동쪽 계단 막다른 곳 S형 주택
29,남쪽 오르막 계단 막다른 곳 M형 주택
30,남쪽 막다른 곳 M형 주택
31,북쪽 계단을 곧장 내려간 곳
32,북쪽 L형 주택
33,서쪽 S형 주택
34,동쪽 왼편 M형 주택
35,북쪽 L형 주택
36,동쪽 오른편 M형 주택
37,동쪽 오른편 두 번째 M형 주택
38,북쪽 계단을 내려가 첫 번째 계단참에서 점프
39,북쪽 S형 주택(계단 없음)
40,북쪽 S형 주택(계단 있음)
41,남쪽 계단을 내려가 막다른 곳에서 점프
42,북쪽으로 길을 따라 첫 번째 계단을 내려가 왼쪽
43,북동쪽 바로 앞 S형 주택
44,남동쪽 커브 비탈길 도중 왼쪽 M형 주택
45,남쪽 L형 주택
46,남동쪽 커브 비탈길 도중 오른쪽 S형 주택
47,남쪽 큰 계단이 있는 S형 주택
48,서쪽 S형 주택
49,남서쪽 첫 번째 S형 주택
50,남서쪽 두 번째 S형 주택
51,남서쪽 세 번째 S형 주택
52,서쪽 계단을 내려가 오른쪽 S형 주택
53,북쪽을 향해 곧장 점프한 바로 앞 S형 주택
54,동쪽 S형 주택
55,남쪽 계단을 한 번 올라가 왼쪽 S형 주택
56,서쪽 오르막 계단 첫 번째 S형 주택
57,남쪽 계단을 한 번 올라가 왼쪽으로 꺾어 막다른 곳 S형 주택
58,남쪽 계단 막다른 곳 S형 주택
59,서쪽 오르막 계단 막다른 곳 M형 주택
60,서쪽 막다른 곳 M형 주택
