番地,行き方補足
1,남쪽으로 가서 오른쪽 M형 주택
2,북서쪽 계단을 올라가면 바로 S형 주택
3,남동쪽으로 간 뒤 계단을 내려간 S형 주택
4,북쪽 S형 주택(왼쪽이든 오른쪽이든 상관없음)
5,북동쪽 계단을 올라간 S형 주택
6,서쪽 오른쪽 S형 주택
7,서쪽 왼쪽 L형 주택
8,동쪽 M형 주택
9,동쪽으로 가서 왼쪽 계단을 올라간 S형 주택
10,남동쪽 계단을 내려간 S형 주택
11,서쪽 계단을 내려가 왼쪽 S형 주택
12,서쪽 계단을 내려가 오른쪽 S형 주택
13,북서쪽 두 번째 집 M형 주택
14,북쪽 S형 주택
15,북동쪽 계단을 올라간 M형 주택
16,북동쪽 계단을 올라간 곳의 L형 주택
17,북서쪽 첫 번째 S형 주택(오른쪽)
18,남동쪽 두 번째 S형 주택
19,북서쪽 첫 번째 M형 주택(왼쪽)
20,남동쪽 첫 번째 S형 주택
21,서쪽 왼쪽 S형 주택
22,서쪽 오른쪽 S형 주택
23,서쪽 붉은 다리 앞 S형 주택
24,서쪽 M형 주택
25,동쪽 계단을 조금 내려간 S형 주택
26,북쪽 S형 주택
27,북동쪽 S형 주택
28,동쪽 M형 주택
29,남쪽 S형 주택
30,서쪽 L형 주택
31,서쪽으로 가서 오른쪽 M형 주택
32,북동쪽 계단을 올라가면 바로 S형 주택
33,남서쪽으로 간 뒤 계단을 내려간 S형 주택
34,동쪽 S형 주택(왼쪽이든 오른쪽이든 상관없음)
35,남동쪽 계단을 올라간 S형 주택
36,북쪽 오른쪽 S형 주택
37,북쪽 왼쪽 L형 주택
38,남쪽 M형 주택
39,남쪽으로 가서 왼쪽 계단을 올라간 S형 주택
40,남서쪽 계단을 내려간 S형 주택
41,북쪽 계단을 내려가 왼쪽 S형 주택
42,북쪽 계단을 내려가 오른쪽 S형 주택
43,북동쪽 두 번째 집 M형 주택
44,동쪽 S형 주택
45,남쪽 계단을 올라간 M형 주택
46,남쪽 계단을 올라간 곳의 L형 주택
47,북동쪽 첫 번째 S형 주택(오른쪽)
48,남서쪽 두 번째 S형 주택
49,북동쪽 첫 번째 M형 주택(왼쪽)
50,남서쪽 첫 번째 S형 주택
51,북쪽 왼쪽 S형 주택
52,북쪽 오른쪽 S형 주택
53,북쪽 붉은 다리 앞 S형 주택
54,북쪽 M형 주택
55,서쪽 계단을 조금 내려간 S형 주택
56,동쪽 S형 주택
57,남동쪽 S형 주택
58,남쪽 M형 주택
59,서쪽 S형 주택
60,북쪽 L형 주택
