番地,行き方補足
1,東側S號房屋
2,南側M號房屋(從左右兩邊都能到)
3,從東北樓梯平臺跳下
4,上北側蜿蜒樓梯中段的S號房屋
5,東北右邊S號房屋
6,東北左邊S號房屋
7,上大樓梯後左邊M號房屋
8,南側M號房屋
9,南側第二棟S號房屋
10,南側第一棟S號房屋
11,下西南盡頭樓梯後的S號房屋
12,西側L號房屋
13,北側S號房屋
14,東北S號房屋
15,東北第二棟S號房屋
16,下東側樓梯後直走的S號房屋
17,沿路往東南走到的M號房屋
18,上U形轉彎樓梯後的東南M號房屋
19,東北第二棟S號房屋
20,東北第一棟S號房屋
21,上北側樓梯後右邊M號房屋
22,北側樓梯頂端L號房屋
23,東北S號房屋
24,東南S號房屋
25,西南S號房屋
26,北側M號房屋
27,下樓梯的S號房屋
28,上西側樓梯後左邊S號房屋
29,上西側樓梯後右邊S號房屋
30,上西側樓梯的L號房屋
31,南側S號房屋
32,西側M號房屋(從左右兩邊都能到)
33,從東南樓梯平臺跳下
34,上東側蜿蜒樓梯中段的S號房屋
35,東南右邊S號房屋
36,東南左邊S號房屋
37,上大樓梯後左邊M號房屋
38,西側M號房屋
39,西側第二棟S號房屋
40,西側第一棟S號房屋
41,下西北盡頭樓梯後的S號房屋
42,北側L號房屋
43,東側S號房屋
44,東南S號房屋
45,東南第二棟S號房屋
46,下南側樓梯後直走的S號房屋
47,沿路往西南走到的M號房屋
48,上U形轉彎樓梯後的西南M號房屋
49,東南第二棟M號房屋
50,東南第一棟S號房屋
51,上東側樓梯後右邊M號房屋
52,東側樓梯頂端L號房屋
53,東南S號房屋
54,西南S號房屋
55,西北S號房屋
56,東側M號房屋
57,下樓梯的S號房屋
58,上北側樓梯後左邊S號房屋
59,上北側樓梯後右邊S號房屋
60,上北側樓梯的L號房屋
