番地,行き方補足
1,上西側樓梯就到的S號房屋
2,朝東北門鈴方向走到底的S號房屋
3,朝東北門鈴方向走最先到的S號房屋
4,上西側樓梯後的第二棟M號房屋
5,北側L號房屋
6,朝東北門鈴方向走到能跳下去的地方跳下的M號房屋
7,東側S號房屋
8,南側M號房屋
9,西側S號房屋
10,西北盡頭的S號房屋(其實沒到底)
11,西北左邊M號房屋
12,西北右邊M號房屋
13,東北右邊L號房屋
14,沿北側樓梯繞左邊走到的S號房屋
15,上北側樓梯兩段的S號房屋
16,過東南側道路後向左走上兩段樓梯的左邊S號房屋
17,過東南側道路後向左走上樓梯的右邊S號房屋
18,過東南側道路後左前方可見的S號房屋
19,過東南側道路後右前方可見的M號房屋
20,南側S號房屋
21,上西側坡道盡頭的S號房屋(不是樓梯)
22,上南側樓梯後走上右邊可見的大樓梯再左轉上樓梯的S號房屋
23,上西南窄樓梯盡頭的S號房屋
24,就在那邊的S號房屋
25,上樓梯後又稍微下來的M號房屋
26,上北側樓梯後向左U形轉彎的S號房屋
27,西南S號房屋
28,往西走的S號房屋
29,下樓梯盡頭的S號房屋
30,下樓梯盡頭的L號房屋
31,上北側樓梯就到的S號房屋
32,朝東南門鈴方向走到底的S號房屋
33,朝東南門鈴方向走最先到的S號房屋
34,上北側樓梯後的第二棟M號房屋
35,東側L號房屋
36,朝東南門鈴方向走到能跳下去的地方跳下的M號房屋
37,南側S號房屋
38,西側M號房屋
39,北側S號房屋
40,東北盡頭的S號房屋(其實沒到底)
41,東北左邊M號房屋
42,東北右邊M號房屋
43,東南右邊L號房屋
44,沿東側樓梯繞左邊走到的S號房屋
45,上東側樓梯兩段的S號房屋
46,過西南側道路後向左走上兩段樓梯的左邊S號房屋
47,過西南側道路後向左走上樓梯的右邊S號房屋
48,過西南側道路後左前方可見的S號房屋
49,過西南側道路後右前方可見的M號房屋
50,西側S號房屋
51,上北側坡道盡頭的S號房屋(不是樓梯)
52,上西側樓梯後走上右邊可見的大樓梯再左轉上樓梯的S號房屋
53,上西北窄樓梯盡頭的S號房屋
54,就在那邊的S號房屋
55,上樓梯後又稍微下來的M號房屋
56,上東側樓梯後向左U形轉彎的S號房屋
57,西北S號房屋
58,往北走的S號房屋
59,下樓梯盡頭的S號房屋
60,下樓梯盡頭的L號房屋
