番地,行き方補足
1,沿路向東右邊M號房屋
2,北側右邊S號房屋
3,東側L號房屋
4,北側左邊S號房屋
5,西側M號房屋
6,往南走過左邊的橋即到L號房屋
7,北側右邊S號房屋
8,北側左邊S號房屋
9,東側S號房屋
10,西側S號房屋
11,西南盡頭M號房屋
12,南側第一棟S號房屋
13,往西走到盡頭左邊S號房屋
14,南側第二棟S號房屋
15,往北過右邊的橋後左邊S號房屋
16,西側M號房屋
17,東側S號房屋
18,北側右邊S號房屋(繞到右邊進入)
19,北側左邊S號房屋
20,東南S號房屋
21,西南M號房屋
22,西側S號房屋
23,東南S號房屋
24,西北上樓梯的S號房屋
25,西北上樓梯後右邊S號房屋
26,沿路往西下坡的S號房屋
27,西南M號房屋
28,西北L號房屋
29,西北盡頭S號房屋
30,沿西側道路最先看到的M號房屋
31,沿路向南右邊M號房屋
32,東側右邊S號房屋
33,南側L號房屋
34,東側左邊S號房屋
35,北側M號房屋
36,往西走過左邊的橋即到L號房屋
37,東側右邊S號房屋
38,東側左邊S號房屋
39,南側S號房屋
40,北側S號房屋
41,西北盡頭M號房屋
42,西側第一棟S號房屋
43,往北走到盡頭左邊S號房屋
44,西側第二棟S號房屋
45,往東過右邊的橋後左邊S號房屋
46,北側M號房屋
47,南側S號房屋
48,東側右邊S號房屋(繞到右邊進入)
49,東側左邊S號房屋
50,西北S號房屋
51,西北M號房屋
52,北側S號房屋
53,西南S號房屋
54,東北上樓梯的S號房屋
55,東北上樓梯後右邊S號房屋
56,沿路往北下坡的S號房屋
57,西北M號房屋
58,東北L號房屋
59,東北盡頭S號房屋
60,沿北側道路最先看到的M號房屋
