番地,行き方補足
1,沿西側樓梯直下即到
2,西側L號房屋
3,南側S號房屋
4,北側左邊M號房屋
5,西側L號房屋
6,北側右邊M號房屋
7,北側右邊第二棟M號房屋
8,沿西側樓梯下去在第一個平臺跳下
9,西側S號房屋(無樓梯)
10,西側S號房屋(有樓梯)
11,沿東側樓梯下去在盡頭跳下
12,沿路向西走下第一段樓梯後左轉
13,西北側正前方S號房屋
14,東北彎道坡道中段左側M號房屋
15,東側L號房屋
16,東北彎道坡道中段右側S號房屋
17,東側帶大樓梯的S號房屋
18,南側S號房屋
19,東南第一棟S號房屋
20,東南第二棟S號房屋
21,東南第三棟S號房屋
22,沿南側樓梯下去右邊S號房屋
23,朝西直跳正前方S號房屋
24,北側S號房屋
25,上東側樓梯一段後左邊S號房屋
26,南側上坡樓梯第一棟S號房屋
27,上東側樓梯一段後左轉到盡頭S號房屋
28,東側樓梯盡頭S號房屋
29,南側上坡樓梯盡頭M號房屋
30,南側盡頭M號房屋
31,沿北側樓梯直下即到
32,北側L號房屋
33,西側S號房屋
34,東側左邊M號房屋
35,北側L號房屋
36,東側右邊M號房屋
37,東側右邊第二棟M號房屋
38,沿北側樓梯下去在第一個平臺跳下
39,北側S號房屋(無樓梯)
40,北側S號房屋(有樓梯)
41,沿南側樓梯下去在盡頭跳下
42,沿路向北走下第一段樓梯後左轉
43,東北側正前方S號房屋
44,東南彎道坡道中段左側M號房屋
45,南側L號房屋
46,東南彎道坡道中段右側S號房屋
47,南側帶大樓梯的S號房屋
48,西側S號房屋
49,西南第一棟S號房屋
50,西南第二棟S號房屋
51,西南第三棟S號房屋
52,沿西側樓梯下去右邊S號房屋
53,朝北直跳正前方S號房屋
54,東側S號房屋
55,上南側樓梯一段後左邊S號房屋
56,西側上坡樓梯第一棟S號房屋
57,上南側樓梯一段後左轉到盡頭S號房屋
58,南側樓梯盡頭S號房屋
59,西側上坡樓梯盡頭M號房屋
60,西側盡頭M號房屋
