番地,行き方補足
1,往南走右邊M號房屋
2,上西北樓梯就到的S號房屋
3,往東南走後下樓梯的S號房屋
4,北側S號房屋(從左右兩邊都能到)
5,上東北樓梯的S號房屋
6,西側右邊S號房屋
7,西側左邊L號房屋
8,東側M號房屋
9,往東走後左邊上樓梯的S號房屋
10,東南下樓梯的S號房屋
11,下西側樓梯後左邊S號房屋
12,下西側樓梯後右邊S號房屋
13,西北第二棟M號房屋
14,北側S號房屋
15,上東北樓梯的M號房屋
16,上東北樓梯盡頭的L號房屋
17,西北第一棟S號房屋(右)
18,東南第二棟S號房屋
19,西北第一棟M號房屋(左)
20,東南第一棟S號房屋
21,西側左邊S號房屋
22,西側右邊S號房屋
23,西側紅橋前S號房屋
24,西側M號房屋
25,下東側樓梯一點的S號房屋
26,北側S號房屋
27,東北S號房屋
28,東側M號房屋
29,南側S號房屋
30,西側L號房屋
31,往西走右邊M號房屋
32,上東北樓梯就到的S號房屋
33,往西南走後下樓梯的S號房屋
34,東側S號房屋(從左右兩邊都能到)
35,上東南樓梯的S號房屋
36,北側右邊S號房屋
37,北側左邊L號房屋
38,南側M號房屋
39,往南走後左邊上樓梯的S號房屋
40,西南下樓梯的S號房屋
41,下北側樓梯後左邊S號房屋
42,下北側樓梯後右邊S號房屋
43,東北第二棟M號房屋
44,東側S號房屋
45,上南側樓梯的M號房屋
46,上南側樓梯盡頭的L號房屋
47,東北第一棟S號房屋(右)
48,西南第二棟S號房屋
49,東北第一棟M號房屋(左)
50,西南第一棟S號房屋
51,北側左邊S號房屋
52,北側右邊S號房屋
53,北側紅橋前S號房屋
54,北側M號房屋
55,下西側樓梯一點的S號房屋
56,東側S號房屋
57,東南S號房屋
58,南側M號房屋
59,西側S號房屋
60,北側L號房屋
