番地,行き方補足
1,东侧S号房屋
2,南侧M号房屋(从左右两边都能到)
3,从东北楼梯平台跳下
4,上北侧蜿蜒楼梯中段的S号房屋
5,东北右边S号房屋
6,东北左边S号房屋
7,上大楼梯后左边M号房屋
8,南侧M号房屋
9,南侧第二栋S号房屋
10,南侧第一栋S号房屋
11,下西南尽头楼梯后的S号房屋
12,西侧L号房屋
13,北侧S号房屋
14,东北S号房屋
15,东北第二栋S号房屋
16,下东侧楼梯后直走的S号房屋
17,沿路往东南走到的M号房屋
18,上U形转弯楼梯后的东南M号房屋
19,东北第二栋S号房屋
20,东北第一栋S号房屋
21,上北侧楼梯后右边M号房屋
22,北侧楼梯顶端L号房屋
23,东北S号房屋
24,东南S号房屋
25,西南S号房屋
26,北侧M号房屋
27,下楼梯的S号房屋
28,上西侧楼梯后左边S号房屋
29,上西侧楼梯后右边S号房屋
30,上西侧楼梯的L号房屋
31,南侧S号房屋
32,西侧M号房屋(从左右两边都能到)
33,从东南楼梯平台跳下
34,上东侧蜿蜒楼梯中段的S号房屋
35,东南右边S号房屋
36,东南左边S号房屋
37,上大楼梯后左边M号房屋
38,西侧M号房屋
39,西侧第二栋S号房屋
40,西侧第一栋S号房屋
41,下西北尽头楼梯后的S号房屋
42,北侧L号房屋
43,东侧S号房屋
44,东南S号房屋
45,东南第二栋S号房屋
46,下南侧楼梯后直走的S号房屋
47,沿路往西南走到的M号房屋
48,上U形转弯楼梯后的西南M号房屋
49,东南第二栋M号房屋
50,东南第一栋S号房屋
51,上东侧楼梯后右边M号房屋
52,东侧楼梯顶端L号房屋
53,东南S号房屋
54,西南S号房屋
55,西北S号房屋
56,东侧M号房屋
57,下楼梯的S号房屋
58,上北侧楼梯后左边S号房屋
59,上北侧楼梯后右边S号房屋
60,上北侧楼梯的L号房屋
