番地,行き方補足
1,上西侧楼梯就到的S号房屋
2,朝东北门铃方向走到底的S号房屋
3,朝东北门铃方向走最先到的S号房屋
4,上西侧楼梯后的第二栋M号房屋
5,北侧L号房屋
6,朝东北门铃方向走到能跳下去的地方跳下的M号房屋
7,东侧S号房屋
8,南侧M号房屋
9,西侧S号房屋
10,西北尽头的S号房屋(其实没到底)
11,西北左边M号房屋
12,西北右边M号房屋
13,东北右边L号房屋
14,沿北侧楼梯绕左边走到的S号房屋
15,上北侧楼梯两段的S号房屋
16,过东南侧道路后向左走上两段楼梯的左边S号房屋
17,过东南侧道路后向左走上楼梯的右边S号房屋
18,过东南侧道路后左前方可见的S号房屋
19,过东南侧道路后右前方可见的M号房屋
20,南侧S号房屋
21,上西侧坡道尽头的S号房屋(不是楼梯)
22,上南侧楼梯后走上右边可见的大楼梯再左转上楼梯的S号房屋
23,上西南窄楼梯尽头的S号房屋
24,就在那边的S号房屋
25,上楼梯后又稍微下来的M号房屋
26,上北侧楼梯后向左U形转弯的S号房屋
27,西南S号房屋
28,往西走的S号房屋
29,下楼梯尽头的S号房屋
30,下楼梯尽头的L号房屋
31,上北侧楼梯就到的S号房屋
32,朝东南门铃方向走到底的S号房屋
33,朝东南门铃方向走最先到的S号房屋
34,上北侧楼梯后的第二栋M号房屋
35,东侧L号房屋
36,朝东南门铃方向走到能跳下去的地方跳下的M号房屋
37,南侧S号房屋
38,西侧M号房屋
39,北侧S号房屋
40,东北尽头的S号房屋(其实没到底)
41,东北左边M号房屋
42,东北右边M号房屋
43,东南右边L号房屋
44,沿东侧楼梯绕左边走到的S号房屋
45,上东侧楼梯两段的S号房屋
46,过西南侧道路后向左走上两段楼梯的左边S号房屋
47,过西南侧道路后向左走上楼梯的右边S号房屋
48,过西南侧道路后左前方可见的S号房屋
49,过西南侧道路后右前方可见的M号房屋
50,西侧S号房屋
51,上北侧坡道尽头的S号房屋(不是楼梯)
52,上西侧楼梯后走上右边可见的大楼梯再左转上楼梯的S号房屋
53,上西北窄楼梯尽头的S号房屋
54,就在那边的S号房屋
55,上楼梯后又稍微下来的M号房屋
56,上东侧楼梯后向左U形转弯的S号房屋
57,西北S号房屋
58,往北走的S号房屋
59,下楼梯尽头的S号房屋
60,下楼梯尽头的L号房屋
