番地,行き方補足
1,沿路向东右边M号房屋
2,北侧右边S号房屋
3,东侧L号房屋
4,北侧左边S号房屋
5,西侧M号房屋
6,往南走过左边的桥即到L号房屋
7,北侧右边S号房屋
8,北侧左边S号房屋
9,东侧S号房屋
10,西侧S号房屋
11,西南尽头M号房屋
12,南侧第一栋S号房屋
13,往西走到尽头左边S号房屋
14,南侧第二栋S号房屋
15,往北过右边的桥后左边S号房屋
16,西侧M号房屋
17,东侧S号房屋
18,北侧右边S号房屋(绕到右边进入)
19,北侧左边S号房屋
20,东南S号房屋
21,西南M号房屋
22,西侧S号房屋
23,东南S号房屋
24,西北上楼梯的S号房屋
25,西北上楼梯后右边S号房屋
26,沿路往西下坡的S号房屋
27,西南M号房屋
28,西北L号房屋
29,西北尽头S号房屋
30,沿西侧道路最先看到的M号房屋
31,沿路向南右边M号房屋
32,东侧右边S号房屋
33,南侧L号房屋
34,东侧左边S号房屋
35,北侧M号房屋
36,往西走过左边的桥即到L号房屋
37,东侧右边S号房屋
38,东侧左边S号房屋
39,南侧S号房屋
40,北侧S号房屋
41,西北尽头M号房屋
42,西侧第一栋S号房屋
43,往北走到尽头左边S号房屋
44,西侧第二栋S号房屋
45,往东过右边的桥后左边S号房屋
46,北侧M号房屋
47,南侧S号房屋
48,东侧右边S号房屋(绕到右边进入)
49,东侧左边S号房屋
50,西北S号房屋
51,西北M号房屋
52,北侧S号房屋
53,西南S号房屋
54,东北上楼梯的S号房屋
55,东北上楼梯后右边S号房屋
56,沿路往北下坡的S号房屋
57,西北M号房屋
58,东北L号房屋
59,东北尽头S号房屋
60,沿北侧道路最先看到的M号房屋
