番地,行き方補足
1,沿西侧楼梯直下即到
2,西侧L号房屋
3,南侧S号房屋
4,北侧左边M号房屋
5,西侧L号房屋
6,北侧右边M号房屋
7,北侧右边第二栋M号房屋
8,沿西侧楼梯下去在第一个平台跳下
9,西侧S号房屋(无楼梯)
10,西侧S号房屋(有楼梯)
11,沿东侧楼梯下去在尽头跳下
12,沿路向西走下第一段楼梯后左转
13,西北侧正前方S号房屋
14,东北弯道坡道中段左侧M号房屋
15,东侧L号房屋
16,东北弯道坡道中段右侧S号房屋
17,东侧带大楼梯的S号房屋
18,南侧S号房屋
19,东南第一栋S号房屋
20,东南第二栋S号房屋
21,东南第三栋S号房屋
22,沿南侧楼梯下去右边S号房屋
23,朝西直跳正前方S号房屋
24,北侧S号房屋
25,上东侧楼梯一段后左边S号房屋
26,南侧上坡楼梯第一栋S号房屋
27,上东侧楼梯一段后左转到尽头S号房屋
28,东侧楼梯尽头S号房屋
29,南侧上坡楼梯尽头M号房屋
30,南侧尽头M号房屋
31,沿北侧楼梯直下即到
32,北侧L号房屋
33,西侧S号房屋
34,东侧左边M号房屋
35,北侧L号房屋
36,东侧右边M号房屋
37,东侧右边第二栋M号房屋
38,沿北侧楼梯下去在第一个平台跳下
39,北侧S号房屋(无楼梯)
40,北侧S号房屋(有楼梯)
41,沿南侧楼梯下去在尽头跳下
42,沿路向北走下第一段楼梯后左转
43,东北侧正前方S号房屋
44,东南弯道坡道中段左侧M号房屋
45,南侧L号房屋
46,东南弯道坡道中段右侧S号房屋
47,南侧带大楼梯的S号房屋
48,西侧S号房屋
49,西南第一栋S号房屋
50,西南第二栋S号房屋
51,西南第三栋S号房屋
52,沿西侧楼梯下去右边S号房屋
53,朝北直跳正前方S号房屋
54,东侧S号房屋
55,上南侧楼梯一段后左边S号房屋
56,西侧上坡楼梯第一栋S号房屋
57,上南侧楼梯一段后左转到尽头S号房屋
58,南侧楼梯尽头S号房屋
59,西侧上坡楼梯尽头M号房屋
60,西侧尽头M号房屋
