番地,行き方補足
1,往南走右边M号房屋
2,上西北楼梯就到的S号房屋
3,往东南走后下楼梯的S号房屋
4,北侧S号房屋(从左右两边都能到)
5,上东北楼梯的S号房屋
6,西侧右边S号房屋
7,西侧左边L号房屋
8,东侧M号房屋
9,往东走后左边上楼梯的S号房屋
10,东南下楼梯的S号房屋
11,下西侧楼梯后左边S号房屋
12,下西侧楼梯后右边S号房屋
13,西北第二栋M号房屋
14,北侧S号房屋
15,上东北楼梯的M号房屋
16,上东北楼梯尽头的L号房屋
17,西北第一栋S号房屋(右)
18,东南第二栋S号房屋
19,西北第一栋M号房屋(左)
20,东南第一栋S号房屋
21,西侧左边S号房屋
22,西侧右边S号房屋
23,西侧红桥前S号房屋
24,西侧M号房屋
25,下东侧楼梯一点的S号房屋
26,北侧S号房屋
27,东北S号房屋
28,东侧M号房屋
29,南侧S号房屋
30,西侧L号房屋
31,往西走右边M号房屋
32,上东北楼梯就到的S号房屋
33,往西南走后下楼梯的S号房屋
34,东侧S号房屋(从左右两边都能到)
35,上东南楼梯的S号房屋
36,北侧右边S号房屋
37,北侧左边L号房屋
38,南侧M号房屋
39,往南走后左边上楼梯的S号房屋
40,西南下楼梯的S号房屋
41,下北侧楼梯后左边S号房屋
42,下北侧楼梯后右边S号房屋
43,东北第二栋M号房屋
44,东侧S号房屋
45,上南侧楼梯的M号房屋
46,上南侧楼梯尽头的L号房屋
47,东北第一栋S号房屋(右)
48,西南第二栋S号房屋
49,东北第一栋M号房屋(左)
50,西南第一栋S号房屋
51,北侧左边S号房屋
52,北侧右边S号房屋
53,北侧红桥前S号房屋
54,北侧M号房屋
55,下西侧楼梯一点的S号房屋
56,东侧S号房屋
57,东南S号房屋
58,南侧M号房屋
59,西侧S号房屋
60,北侧L号房屋
